"job_title,company,location,salary_min,salary_max,contract_type,category,job_url,created,scraped_at"
"Data Governance,Thryve Digital Health LLP,""Hyderabad, Telangana"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5557294996?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=F3C296738BA48C5C0CC58DF7ADFEA100732BB066,2025-12-27T22:02:42Z,2025-12-31 14:00:23.324691"
"Data Governance,Thryve Digital Health LLP,""Chennai, Tamil Nadu"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5557297395?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=D64B1BC92BF74588FBAADAC1F4F75B87A9E7612D,2025-12-27T22:06:28Z,2025-12-31 14:00:23.324691"
"Data Architect,DAZN,""Hyderabad, Telangana"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5549500631?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=A448879904C288D409F518B99515C1A305C9CF18,2025-12-20T09:04:38Z,2025-12-31 14:00:23.324691"
"Data Engineer,Tata Consultancy Services,""Bangalore, Karnataka"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5546593355?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=B05854836630E8625B7FF5718B9038A2011F418F,2025-12-18T08:44:01Z,2025-12-31 14:00:23.324691"
"Data Architect,Best Infosystems Ltd.,""Bangalore, Karnataka"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5337032075?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=57AA21715E0174BA885B0F2DB4F574D70D7235EA,2025-08-04T17:19:43Z,2025-12-31 14:00:23.324691"
"Data Engineer,ITC Infotech,""Bangalore, Karnataka"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5539018992?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=EC2EE234898C969785AA5A71C79D2D9771CA54CF,2025-12-12T09:53:35Z,2025-12-31 14:00:23.324691"
"Data Engineer,Tata Consultancy Services,""Hyderabad, Telangana"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5550648238?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=712AAC63372C327D17D41790699C81DE32C92372,2025-12-21T08:13:25Z,2025-12-31 14:00:23.324691"
"Data Modeler,""Prudent Technologies and Consulting, Inc."",""Hyderabad, Telangana"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5523456001?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=D30B30AC92AA13CB03692757306BCDE30E6F9BEA,2025-12-02T08:57:36Z,2025-12-31 14:00:23.324691"
"Data Engineer,RapidBrains,""Kochi, Ernakulam"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5550649319?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=1D9ED8736CC471C51B7A48AFC1708A0B66443A77,2025-12-21T08:16:17Z,2025-12-31 14:00:23.324691"
"Data Modeler,LTIMindtree,""Ghaziabad, Uttar Pradesh"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5536064898?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=9828D27E66D0A3ED204EF54288FC62130880AB14,2025-12-10T16:51:54Z,2025-12-31 14:00:23.324691"
"Data Architect,Nemetschek Group,""Hyderabad, Telangana"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5553871113?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=FC1911FEA2331F79D5717B01C3CB8AD147DB5F0E,2025-12-24T10:17:28Z,2025-12-31 14:00:23.324691"
"Data Steward,C5i,""Bangalore, Karnataka"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5558016789?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=E8ADE31813F537F6CB9DC12BAC86D97F9A387E4F,2025-12-28T10:07:02Z,2025-12-31 14:00:23.324691"
"Data Engineer,IntraEdge,India,0,0,,IT Jobs,https://www.adzuna.in/land/ad/5486489974?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=35E635063CCB87CBBA29AC8F21BDEBDDB5C530ED,2025-11-08T09:59:01Z,2025-12-31 14:00:23.324691"
"Data Engineer,Aeris,""Noida, Ghaziabad"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5559716674?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=E26B1C89CECC729051F7B87A7C22E5483FFE0E71,2025-12-30T10:27:07Z,2025-12-31 14:00:23.324691"
"Data Engineer,Stolt-Nielsen Digital Innovation Centre,""Hyderabad, Telangana"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5538938862?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=D776CEFB6BFA6FD2ECF5A1561CF907AA983EEEB2,2025-12-12T08:53:28Z,2025-12-31 14:00:23.324691"
"Data Architect,Emids,""Bangalore, Karnataka"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5530553098?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=D3D07DEF3E00B5022C9AFA204796830F48BBF14F,2025-12-06T09:42:12Z,2025-12-31 14:00:23.324691"
"Data Engineer,Idyllic Services,""Bangalore, Karnataka"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5556103827?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=3FED3C0226AC4E4633F60584278BC5CA1B92011C,2025-12-26T08:39:37Z,2025-12-31 14:00:23.324691"
"Data Analyst,VXI Global Solutions,""Tamil Nadu, India"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5549495875?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=AF60D928812331D908A78B022C1AB2A3E2904C2F,2025-12-20T08:59:32Z,2025-12-31 14:00:23.324691"
